

Run1
 StationID :: 	TMax Avg
USC00362190			201.46576	58.249313
CA008100566			83.46575	-10.575342
CA007040446			95.30137	-10.849315
USS0045Q02S			27.835617	-83.479454
USC00364836			127.84927	47.930435
USR0000OWCR			200.79155	74.21408
CHM00054916			193.30138	78.49041
ASN00015528			314.2967	163.92583
USC00338534			169.3063	51.04518
IN012070800			319.06845	222.99695
CA008402975			79.34513	7.6824927
CA008402973			71.82961	-8.086592
CA008401642			78.78082	-27.767124
IVM00065536			323.61765	220.35658
CA008402958			42.69863	-30.054794
CA004024135			117.59259	-9.842857
MGM00044313			46.872147	-97.671234
MGM00044314			71.03819	-76.3822
USC00349203			219.55865	94.79609
ASN00014213			320.74054	222.98904
USC00325210			132.96417	0.5667656
IVM00065545			314.20938	216.50916
USC00325220			172.47325	45.691357
CA004013480			95.2933	-21.333334
USR0000SAND			165.0137	2.3479452
USC00051564			193.5589	30.59452
USC00111835			90.58696	-35.695652
CA007040440			66.03835	-38.78904
CHM00054906			193.0	91.964386
CA008402966			76.0685	-17.178082
USR0000OWAG			102.22715	14.191135
GME00114621			57.561646	8.065753
CA003014922			100.35714	-19.268698
MGM00044304			65.00635	-104.96729
MGM00044305			72.546425	-68.78829
MGM00044302			62.726276	-81.97895
USR0000OWAM			141.03014	35.29589
USR0000OWAN			137.8379	29.741758
USC00026597			164.43562	14.156164
CA004013490			93.168045	-18.273481
USC00363526			172.66667	36.266666
FRM00007149			162.99675	72.435234
USC00364853			193.57808	45.21096
ASN00015511			310.7929	141.72107
USC00025270			300.90137	109.967125
CA004012164			93.63372	-19.188034
USC00134502			165.575	56.038998
USC00352867			186.4879	62.814518
USC00135837			171.95343	60.09863
USC00315890			214.6274	84.863014
IDM00096791			336.5	230.13333
CA007014160			113.529915	9.82906
USR0000CTAY			86.23014	-54.868492
USC00051547			194.01396	10.413408
USR0000CTAN			219.72603	101.56712
UYM00086560			225.82353	141.05814
IDM00096797			304.55554	232.14285
FRM00007139			158.59294	64.229836
USC00266252			152.28279	28.485714
USC00313228			216.61096	77.156166
USC00351546			202.37059	-11.141176
USC00050214			166.43562	-15.484932
USC00412902			239.25754	119.882195
USC00412906			303.9478	127.010956
CGM00064222			323.0	209.66667
CA004024161			119.82094	-11.558074
PKM00041780			317.1748	203.45291
MXM00076625			271.4643	107.34146
BF000078073			294.23834	217.10136
USS0021E07S			121.14525	-26.092178
USR0000AMUL			235.59178	90.69589
USS0005J40S			126.81096	-109.06301
CA008400350			61.802723	-21.97279
CA008400359			73.875	-27.709497
USC00013251			240.38356	122.454796
MXM00076634			239.79189	91.343025
CGM00064210			304.1832	211.25415
USR0000AMTL			143.40549	27.726027
USC00051528			168.55342	-30.016438
MXM00076632			212.67685	87.95
USC00471280			144.38023	49.81138
USC00303889			129.58287	8.588398
USC00349247			222.1589	108.61918
USC00049200			248.16484	86.36798
USC00302554			166.60345	24.741379
USS0021E06S			114.32603	-1.9178082
UKM00003017			115.85887	56.923424
ASN00015502			326.45056	156.42694
USS0005J41S			90.7589	-28.657534
USC00109560			120.97179	-54.479626
CHM00053614			163.56712	36.11507
UYM00086500			243.35057	122.668655
RQC00666073			317.1188	204.26402
RSM00030157			78.38686	-84.459595
MXM00076647			334.7459	197.86568
AYW00090001			-458.0934	-521.0714
USS0021E05S			135.96979	-1.8104396
PKM00041764			330.14053	204.46794
USC00364896			174.5055	55.293957
USC00027880			238.50685	93.882195
PKM00041768			347.94202	220.11711
MXM00076640			317.30963	219.59709
RSM00031482			53.694767	-101.55738
FRM00007110			144.88809	74.71429
USC00315838			222.61644	77.1726
IDM00096739			323.28204	222.78787
RSM00031484			60.413105	-82.83246
IDM00096737			308.0	226.33333
RSM00030151			56.70703	-70.656624
USC00351574			156.06061	-3.584022
